Time,Moss,Moss.number,Moss.sub,Microsite,Habitat,Index,Elevation,Site,Veg.Type,Topography,Shade.Index,PDIR,Slope,Aspect,Assay,Clip,Fo,Fm,Fv,Fv.Fm
0,1a,1,a,CB-F-1a,Interspace,3,890,1,CB,F,6,0.984599678,2,270,4,1,100,163,63,0.387
0,1b,1,b,CB-F-1b,Dripline,4,890,1,CB,F,7,0.984599678,2,270,3,12,109,274,165,0.602
0,2a,2,a,CB-F-2a,Dripline,4,890,1,CB,F,18,0.984599678,2,270,4,2,148,260,112,0.431
0,3,3,,CB-F-3,Canopy,5,890,1,CB,F,12,0.984599678,2,270,2,1,114,169,55,0.325
0,4,4,,CB-F-4,Interspace,3,890,1,CB,F,7,0.984599678,2,270,2,2,90,123,33,0.268
0,5a,5,a,CB-F-5a,Interspace,3,890,1,CB,F,7,0.984599678,2,270,3,9,43,82,39,0.476
0,5b,5,b,CB-F-5b,Interspace,3,890,1,CB,F,9,0.984599678,2,270,2,3,117,218,101,0.463
0,6a,6,a,CB-F-6a,Interspace,3,890,1,CB,F,8,0.984599678,2,270,3,1,127,247,120,0.486
0,7a,7,a,CB-F-7a,Interspace,3,890,1,CB,F,7,0.984599678,16,324,1,1,80,127,47,0.37
0,8,8,,CB-F-8,Interspace,3,890,1,CB,F,8,0.984599678,16,324,3,2,116,162,46,0.284
0,9,9,,CB-F-9,Interspace,3,890,1,CB,F,11,0.984599678,16,333,1,2,81,123,42,0.341
0,10,10,,CB-F-10,Interspace,3,890,1,CB,F,8,0.984599678,16,333,1,3,107,131,24,0.183
0,11,11,,CB-F-11,Dripline,4,890,1,CB,F,12,0.984599678,16,333,4,3,79,123,44,0.358
0,12,12,,CB-F-12,Interspace,3,890,1,CB,F,7,0.984599678,7,60,3,3,90,140,50,0.357
0,13a,13,a,CB-N-13a,Dripline,7,890,1,CB,N,17,0.824306114,11,71,3,4,112,244,132,0.541
0,14a,14,a,CB-N-14a,Interspace,6,890,1,CB,N,8,0.824306114,7,56,1,4,90,183,93,0.508
0,15a,15,a,CB-N-15a,Canopy,8,890,1,CB,N,22,0.824306114,9,56,1,5,95,213,118,0.554
0,16b,16,b,CB-N-16b,Dripline,7,890,1,CB,N,8,0.824306114,9,49,4,4,137,279,142,0.509
0,17a,17,a,CB-N-17a,Dripline,7,890,1,CB,N,16,0.876381781,9,57,2,4,87,155,68,0.439
0,18a,18,a,CB-N-18a,Canopy,8,890,1,CB,N,20,0.824306114,2,200,3,5,129,280,151,0.539
0,19a,19,a,CB-N-19a,Dripline,7,890,1,CB,N,13,0.824306114,2,200,4,5,108,207,99,0.478
0,20,20,,CB-N-20,Dripline,7,890,1,CB,N,12,0.824306114,2,200,3,6,98,226,128,0.566
0,21,21,,CB-N-21,Canopy,8,890,1,CB,N,16,0.824306114,6,223,1,6,97,195,98,0.503
0,22,22,,CB-N-22,Canopy,8,890,1,CB,N,18,0.813413214,8,229,2,5,143,279,136,0.487
